Wall time,Step,Value
1670043796.1370502,0,0.4871683716773987
1670043801.7849221,3,0.470130980014801
1670043803.7682328,4,0.46092724800109863
1670043815.5718746,10,0.41817617416381836
1670043817.6682208,11,0.4481014311313629
1670043823.5359342,14,0.4118860960006714
1670043825.5588663,15,0.3885818421840668
1670043833.1186664,18,0.3770226538181305
1670043835.0022154,19,0.3949890732765198
1670043836.9411626,20,0.3795420825481415
1670043840.931534,22,0.3857545554637909
1670043842.8676577,23,0.4007294774055481
1670043848.9728925,26,0.3892996311187744
1670043850.9693267,27,0.3933849632740021
1670043863.0129635,33,0.3793991804122925
1670043868.8815892,36,0.3495294749736786
1670043870.906035,37,0.3706778883934021
1670043872.8317003,38,0.3970033526420593
1670043874.78515,39,0.3603859543800354
1670043876.9202538,40,0.3940611481666565
1670043890.6543248,47,0.35593247413635254
1670043892.733448,48,0.3746904134750366
1670043894.6580954,49,0.3925006687641144
1670043898.4284418,51,0.3651503324508667
1670043900.4774108,52,0.37890756130218506
1670043904.2734213,54,0.39243245124816895
1670043910.6568596,57,0.38972988724708557
1670043917.1180954,60,0.3414020538330078
1670043918.9863002,61,0.37458595633506775
1670043920.881795,62,0.3848150968551636
1670043922.9120026,63,0.38424474000930786
1670043926.7391815,65,0.3752988278865814
1670043928.790951,66,0.3738664984703064
1670043930.721608,67,0.37226200103759766
1670043932.640473,68,0.3644365072250366
1670043936.5943685,70,0.36469393968582153
1670043938.5170524,71,0.3747163414955139
1670043950.3993206,77,0.3720341920852661
1670043954.4503355,79,0.36915865540504456
1670043956.3912928,80,0.36097821593284607
1670043960.5168211,82,0.3596944212913513
1670043966.567488,85,0.3752234876155853
1670043974.4613726,89,0.3509702980518341
1670043976.4249728,90,0.35897544026374817
1670043986.5308578,95,0.3729327321052551
1670043994.4153218,99,0.35273411870002747
1670043996.5244098,100,0.3672765791416168
1670044002.3734944,103,0.37246742844581604
1670044008.3019984,106,0.38544678688049316
1670044011.8271027,107,0.3558200001716614
1670044015.7976909,109,0.35493203997612
1670044026.1843216,114,0.3510899245738983
1670044030.150121,116,0.35321271419525146
1670044040.1251287,121,0.3776267468929291
1670044048.018255,125,0.3637690246105194
1670044050.1209505,126,0.3334084153175354
1670044083.3744886,128,0.3490563631057739
1670044092.6729434,130,0.344527930021286
1670044094.7083642,131,0.3516320288181305
