Wall time,Step,Value
1664997774.0449855,0,0.48677971959114075
1664997821.0760403,3,0.46232300996780396
1664997839.1392994,4,0.4607740640640259
1664997942.610103,10,0.41419315338134766
1664997960.919663,11,0.4437928795814514
1664998016.209941,14,0.41178083419799805
1664998032.190072,15,0.39350104331970215
1664998082.5366786,18,0.37127548456192017
1664998101.253811,19,0.37766584753990173
1664998118.5305128,20,0.3954154849052429
1664998151.2146013,22,0.37634187936782837
1664998170.3703818,23,0.3765603303909302
1664998219.8369088,26,0.36185717582702637
1664998236.4492736,27,0.39192700386047363
1664998344.9952593,33,0.3757171034812927
1664998397.0260715,36,0.36879098415374756
1664998414.431202,37,0.4087131917476654
1664998432.157177,38,0.40764907002449036
1664998449.3108797,39,0.39025455713272095
1664998464.480026,40,0.37423354387283325
1664998581.5087304,47,0.37395066022872925
1664998596.2378237,48,0.3583255112171173
1664998612.5961616,49,0.39087724685668945
1664998644.8432274,51,0.38268783688545227
1664998663.7168472,52,0.3793990910053253
1664998696.1835995,54,0.38096845149993896
1664998742.032847,57,0.3699794411659241
1664998795.0237198,60,0.37117302417755127
1664998810.8034601,61,0.40774860978126526
1664998827.4816883,62,0.3777644634246826
1664998842.7081661,63,0.3877164125442505
1664998875.8324587,65,0.37640708684921265
1664998891.953873,66,0.35152196884155273
1664998909.630132,67,0.345076322555542
1664998928.7199812,68,0.3877234160900116
1664998965.1402872,70,0.3775884509086609
1664998980.9492052,71,0.35974186658859253
1664999087.4706376,77,0.3811013698577881
1664999122.3064532,79,0.3580430746078491
1664999137.5084016,80,0.36775439977645874
1664999174.074351,82,0.3581201136112213
1664999224.8825834,85,0.37557780742645264
1664999291.489537,89,0.3726854920387268
1664999311.133977,90,0.3645126223564148
1664999395.410703,95,0.38347965478897095
1664999464.7154624,99,0.35322242975234985
1664999482.6245415,100,0.34870970249176025
1664999533.723704,103,0.36929425597190857
1664999585.2610776,106,0.3701815605163574
1664999601.995291,107,0.3689209818840027
1664999635.5140543,109,0.4023185670375824
1664999722.820011,114,0.355901300907135
1664999760.4706013,116,0.35437697172164917
1664999844.854491,121,0.3373175859451294
1664999915.626557,125,0.3649550974369049
1664999933.8788788,126,0.3673555254936218
1664999983.1766877,128,0.3454623222351074
1665000016.6503263,130,0.3396014869213104
1665000032.4395986,131,0.33691638708114624
1665000050.8388357,132,0.33847737312316895
