Wall time,Step,Value
1664999969.9198525,127,0.3769560754299164
1665002222.7606199,255,0.3485674262046814
1665004456.5229936,383,0.3458051085472107
1665006652.4495635,511,0.34517836570739746
1665008856.7921743,639,0.3443332612514496
1665011079.2240372,767,0.34316009283065796
1665013282.3200154,895,0.34245750308036804
1665015509.8289933,1023,0.3429039418697357
1665017722.3090444,1151,0.3428523540496826
1665019960.1473365,1279,0.3427126407623291
1665022155.9609082,1407,0.3430618941783905
1665024397.3344507,1535,0.3425430357456207
1665026611.0096798,1663,0.3429281413555145
1665028811.0601144,1791,0.34265264868736267
1665031054.7519865,1919,0.34244295954704285
1665033236.4167624,2047,0.3422747850418091
