Wall time,Step,Value
1670040185.380747,127,0.2729242146015167
1670040402.260794,255,0.2330813705921173
1670040603.4982014,383,0.2299780547618866
1670040820.6888473,511,0.22800704836845398
1670041037.7847974,639,0.22791674733161926
1670041257.0691922,767,0.22771014273166656
1670041486.4100454,895,0.2288614809513092
1670041702.0949733,1023,0.22913870215415955
1670041930.62132,1151,0.2303144484758377
1670042150.665789,1279,0.23079368472099304
1670042366.812238,1407,0.2317163348197937
1670042589.9781313,1535,0.2318788468837738
1670042812.6087637,1663,0.23193739354610443
1670043029.214936,1791,0.23272860050201416
1670043251.066068,1919,0.23312819004058838
1670043476.2592251,2047,0.2342374473810196
