Wall time,Step,Value
1660452106.9153056,0,0.33451130986213684
1660452124.9131613,3,0.3070565462112427
1660452131.1885786,4,0.28008729219436646
1660452169.1017237,10,0.19066834449768066
1660452174.9469786,11,0.2639163136482239
1660452196.2873065,14,0.15438079833984375
1660452202.292899,15,0.13061799108982086
1660452232.7538633,18,0.16939741373062134
1660452240.5501435,19,0.15991385281085968
1660452249.0597942,20,0.13732732832431793
1660452266.1355028,22,0.18994471430778503
1660452276.5635724,23,0.18221962451934814
1660452300.8286633,26,0.1192503273487091
1660452306.8907905,27,0.11885136365890503
1660452346.3511221,33,0.12229733914136887
1660452363.7669132,36,0.11560286581516266
1660452369.5929813,37,0.11581369489431381
1660452375.3914745,38,0.11779862642288208
1660452381.4352655,39,0.12251201272010803
1660452387.0114293,40,0.11910849809646606
1660452471.584677,47,0.1177336722612381
1660452477.4328513,48,0.12794718146324158
1660452483.5521667,49,0.11914905905723572
1660452501.2973046,51,0.12154165655374527
1660452507.9282713,52,0.12475928664207458
1660452519.2209554,54,0.12391455471515656
1660452536.7093914,57,0.11792275309562683
1660452554.3220983,60,0.12135917693376541
1660452559.942231,61,0.11993240565061569
1660452565.9010942,62,0.1179608628153801
1660452571.7673163,63,0.11803184449672699
1660452583.2278562,65,0.11740757524967194
1660452589.8807237,66,0.12077058851718903
1660452595.631029,67,0.11934215575456619
1660452601.5351298,68,0.11855582892894745
1660452612.9530468,70,0.11435489356517792
1660452618.9162722,71,0.11211901158094406
1660452653.4548829,77,0.11623989045619965
1660452665.7892258,79,0.11983805894851685
1660452671.8794355,80,0.12069308012723923
1660452683.1845233,82,0.1204322874546051
1660452701.684409,85,0.11549843102693558
1660452764.266518,89,0.11473096907138824
1660452770.28187,90,0.1172565370798111
1660452803.437446,95,0.1172296404838562
1660452828.177379,99,0.11397327482700348
1660452834.1581743,100,0.10997973382472992
1660452853.6174498,103,0.11358592659235
1660452880.3211827,106,0.11547578126192093
1660452886.8055773,107,0.11731121689081192
1660452898.9531574,109,0.11220946907997131
1660452932.2320578,114,0.11076602339744568
1660452945.027902,116,0.11441975831985474
1660452981.5941901,121,0.11621318757534027
1660453012.2557528,125,0.11706861108541489
1660453018.5887232,126,0.11825541406869888
1660453091.628362,128,0.1124352440237999
1660453102.6800563,130,0.11225144565105438
1660453108.46529,131,0.12022743374109268
1660453114.0695198,132,0.11215568333864212
1660453136.2930617,136,0.11216575652360916
1660453141.9238336,137,0.11384455859661102
1660453176.2806215,143,0.1125103011727333
1660453182.197813,144,0.11465605348348618
1660453194.0120084,146,0.11794283986091614
1660453199.5822883,147,0.11358103156089783
1660453217.7540522,150,0.11108418554067612
1660453265.6834319,157,0.11514165997505188
1660453277.1302896,159,0.11333167552947998
1660453283.1555839,160,0.1128513291478157
1660453295.307853,162,0.11060737073421478
1660453355.7334688,164,0.11560487747192383
1660453443.7584796,170,0.11458413302898407
1660453449.5933654,171,0.11256860941648483
1660453455.3566284,172,0.11162842065095901
1660453473.3363295,175,0.11687979847192764
1660453479.3191516,176,0.11604000627994537
1660453485.3252153,177,0.11056222766637802
1660453491.513882,178,0.11313438415527344
1660453506.3901222,180,0.1160992756485939
1660453518.790194,181,0.11339425295591354
1660453543.47194,184,0.11138789355754852
1660453549.7651994,185,0.1132892295718193
1660453555.4159486,186,0.11226097494363785
1660453572.4592576,189,0.11634273827075958
1660453578.1840103,190,0.1170850619673729
1660453583.753598,191,0.1143542155623436
1660453589.5291655,192,0.11617095023393631
1660453606.4068801,195,0.1127728521823883
1660453629.4148486,199,0.11362586170434952
1660453635.0752146,200,0.11684191972017288
1660453646.7457242,202,0.1090596467256546
1660453652.3736684,203,0.11661908030509949
1660453658.3276505,204,0.1181834414601326
1660453664.0289571,205,0.11157809942960739
1660453675.6953013,207,0.11154376715421677
1660453687.0317693,209,0.11357738822698593
1660453698.3929453,211,0.11436845362186432
1660453709.5770926,213,0.11021283268928528
1660453720.940802,215,0.11673921346664429
1660453726.6350205,216,0.11246330291032791
1660453737.9261112,218,0.11010518670082092
1660453743.5029788,219,0.11090721189975739
1660453749.048775,220,0.1094115749001503
1660453755.6681895,221,0.1084219217300415
1660453761.3786225,222,0.11525556445121765
1660453772.4713283,224,0.10925614088773727
