Wall time,Step,Value
1660390105.8687854,127,0.13830949366092682
1660390973.9571033,255,0.11384660750627518
1660391876.6041288,383,0.11253058165311813
1660392742.8501496,511,0.11235931515693665
1660393630.4031856,639,0.111674003303051
1660394512.634938,767,0.1106240451335907
1660395467.850958,895,0.11005216091871262
1660396337.0787141,1023,0.10972423106431961
1660397289.9276228,1151,0.10898220539093018
1660398249.802746,1279,0.10813618451356888
1660399208.441483,1407,0.10763658583164215
1660400201.625892,1535,0.10771575570106506
1660401146.2726684,1663,0.10654617846012115
1660402186.4314637,1791,0.10638361424207687
1660403177.914023,1919,0.10530145466327667
1660404255.6814542,2047,0.10489192605018616
