Wall time,Step,Value
1670049305.3294408,127,-68.0
1670049590.7582662,255,-40.0
1670049879.8459408,383,-42.0
1670050173.7519677,511,-60.0
1670050459.5171194,639,-50.0
1670050761.6345558,767,-44.0
1670051067.2632656,895,-36.0
1670051370.7468417,1023,-50.0
1670051666.1408498,1151,-48.0
1670051959.0069394,1279,-52.0
1670052254.5646791,1407,-18.0
1670052554.905138,1535,-18.0
1670052865.1255994,1663,-52.0
1670053173.883234,1791,-20.0
1670053480.754136,1919,0.0
1670053790.7974393,2047,-14.0
