Wall time,Step,Value
1670049308.2338924,127,-62.0
1670049595.8826249,255,-50.0
1670049883.0417042,383,-54.0
1670050179.0438735,511,-48.0
1670050475.5620153,639,-46.0
1670050784.0161917,767,-40.0
1670051083.6645222,895,-68.0
1670051389.4410212,1023,-24.0
1670051686.0183876,1151,-50.0
1670051984.4767652,1279,-4.0
1670052293.3520203,1407,-42.0
1670052609.0547123,1535,-48.0
1670052911.2762656,1663,-12.0
1670053222.63324,1791,-26.0
1670053528.6328251,1919,-24.0
1670053832.5641768,2047,-20.0
