Wall time,Step,Value
1660418397.7236695,127,0.049140725284814835
1660418509.7914245,255,0.04413165524601936
1660418617.774029,383,0.04331706091761589
1660418723.230507,511,0.0433855801820755
1660418829.3056452,639,0.04353054612874985
1660418941.4556055,767,0.04366963356733322
1660419057.1043751,895,0.04392678663134575
1660419161.4343262,1023,0.044036976993083954
1660419268.8372533,1151,0.044159598648548126
1660419388.7835295,1279,0.044227734208106995
1660419494.2960625,1407,0.0445503368973732
1660419607.4578633,1535,0.0447658970952034
1660419714.7035844,1663,0.04502515494823456
1660419821.1147463,1791,0.04509112238883972
1660419938.4644551,1919,0.04539760202169418
1660420053.9308333,2047,0.0456276498734951
