Wall time,Step,Value
1669942762.3116033,127,0.20010307431221008
1669945296.7310193,255,0.19436800479888916
1669947835.4747012,383,0.19375687837600708
1669950526.3422527,511,0.193542942404747
1669953152.8448758,639,0.19331710040569305
1669955679.9262512,767,0.19263267517089844
1669958293.485371,895,0.1926787942647934
1669960734.2576168,1023,0.19201886653900146
1669963067.781805,1151,0.19159884750843048
1669965490.5905807,1279,0.19064970314502716
1669968050.6540303,1407,0.19022013247013092
1669970494.7817268,1535,0.18942487239837646
1669973056.2979653,1663,0.1887092888355255
1669975764.7330346,1791,0.18787312507629395
1669978837.2148783,1919,0.18774673342704773
1669981226.3376515,2047,0.1863822340965271
