Wall time,Step,Value
1665346614.0473037,127,0.04923153296113014
1665348512.3639972,255,0.04906433820724487
1665350382.352263,383,0.048993855714797974
1665352294.3186681,511,0.0489332340657711
1665354200.290741,639,0.04894452914595604
1665356122.1164687,767,0.048903267830610275
1665358057.5075374,895,0.0488106906414032
1665359992.453985,1023,0.04881731793284416
1665361942.3468888,1151,0.048690490424633026
1665363949.861541,1279,0.048614781349897385
1665365942.882026,1407,0.04853924363851547
1665367882.814122,1535,0.04848775640130043
1665369866.8182306,1663,0.048402272164821625
1665371769.288165,1791,0.04837138205766678
1665373714.7158837,1919,0.048325855284929276
1665375663.876752,2047,0.04814384877681732
