Wall time,Step,Value
1664939057.4997523,127,0.047679927200078964
1664940297.7788107,255,0.047529347240924835
1664941537.0571659,383,0.04738140106201172
1664942778.8841882,511,0.047304797917604446
1664944000.781484,639,0.047321904450654984
1664945232.8314323,767,0.04717228561639786
1664946459.4477985,895,0.04706383869051933
1664947693.736386,1023,0.04694395512342453
1664948929.9943447,1151,0.04687931388616562
1664950144.685594,1279,0.04681381955742836
1664951346.9316444,1407,0.04684022068977356
1664952554.0032706,1535,0.046707186847925186
1664953804.8096216,1663,0.046669770032167435
1664955048.8524466,1791,0.04661089926958084
1664956286.6274722,1919,0.046518102288246155
1664957502.7903767,2047,0.04650567099452019
